"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Ukraine",1036.830725,44.58535469,67.98,43686577,"-0.59 %",-259876,75,579320,10000,"1.4","41","69 %","0.56 %",1036.830725,44.58535469,67.98,133,4.332,0.82,1.39,0.739,0.178,0.187,0.01,1036.830725,44.58535469,67.98,"UKR",2016,93270479388.5243
"United Arab Emirates",21087.39412,77.99678115,77.88,9910892,"1.23 %",119873,118,83600,40000,"1.4","33","86 %","0.13 %",21087.39412,77.99678115,77.88,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,21087.39412,77.99678115,77.88,"ARE",2016,348743265704.561
"United Kingdom",28033.48928,84.73170475,89.94,67948282,"0.53 %",355839,281,241930,260650,"1.8","40","83 %","0.87 %",28033.48928,84.73170475,89.94,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,28033.48928,84.73170475,89.94,"GBR",2016,2647898654635.24
"United States",37491.17952,74.247572,81.7,331341050,"0.59 %",1937734,36,9147420,954806,"1.8","38","83 %","4.25 %",37491.17952,74.247572,81.7,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,37491.17952,74.247572,81.7,"USA",2016,1.8624475e+13
"Uruguay",9106.327234,47.86746863,92.3,3475842,"0.35 %",11996,20,175020,-3000,"2.0","36","96 %","0.04 %",9106.327234,47.86746863,92.3,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,9106.327234,47.86746863,92.3,"URY",2016,52419720713.7316
"Uzbekistan",952.8272608,19.44502055,36.82,33551824,"1.48 %",487487,79,425400,-8863,"2.4","28","50 %","0.43 %",952.8272608,19.44502055,36.82,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,952.8272608,19.44502055,36.82,"UZB",2016,67220335569.6147
"Vietnam",722.8075588,27.85182156,27.84,97490013,"0.91 %",876473,314,310070,-80000,"2.1","32","38 %","1.25 %",722.8075588,27.85182156,27.84,94,5.175,0.741,1.346,0.851,0.543,0.147,0.073,722.8075588,27.85182156,27.84,"VNM",2016,205276172134.901
"Yemen, Rep.",610.3573673,12.34975046,30.64,29935468,"2.28 %",664042,56,527970,-30000,"3.8","20","38 %","0.38 %",610.3573673,12.34975046,30.64,151,3.38,0.287,1.163,0.463,0.143,0.108,0.077,610.3573673,12.34975046,30.64,"YEM",2016,27317605346.0714
"Zambia",432.226337,10.12498646,35.42,18468257,"2.93 %",522925,25,743390,-8000,"4.7","18","45 %","0.24 %",432.226337,10.12498646,35.42,138,4.107,0.578,1.058,0.426,0.431,0.247,0.087,432.226337,10.12498646,35.42,"ZMB",2016,21063989682.5243
"Zimbabwe",320.7718899,11.50041532,37.34,14899771,"1.48 %",217456,38,386850,-116858,"3.6","19","38 %","0.19 %",320.7718899,11.50041532,37.34,146,3.663,0.366,1.114,0.433,0.361,0.151,0.089,320.7718899,11.50041532,37.34,"ZWE",2016,16619960401.9038
