"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Indonesia",1143.831514,9.900038672,51.46,274021604,"1.07 %",2898047,151,1811570,-98955,"2.3","30","56 %","3.51 %",1143.831514,9.900038672,51.46,92,5.192,0.931,1.203,0.66,0.491,0.498,0.028,1143.831514,9.900038672,51.46,"IDN",2016,932259177765.307
"Iran",2161.54651,13.00011072,68.46,84176929,"1.30 %",1079043,52,1628550,-55000,"2.2","32","76 %","1.08 %",2161.54651,13.00011072,68.46,117,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2161.54651,13.00011072,68.46,"IRN",2016,418976679728.567
"Iraq",736.2680538,2.471948347,66.6,40372771,"2.32 %",912710,93,434320,7834,"3.7","21","73 %","0.52 %",736.2680538,2.471948347,66.6,126,4.437,1.043,0.98,0.574,0.241,0.148,0.089,736.2680538,2.471948347,66.6,"IRQ",2016,171489001692.047
"Ireland",27595.09135,69.77039441,61.34,4947267,"1.13 %",55291,72,68890,23604,"1.8","38","63 %","0.06 %",27595.09135,69.77039441,61.34,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,27595.09135,69.77039441,61.34,"IRL",2016,304819020500.641
"Israel",22275.75166,65.38778594,91.66,8678517,"1.60 %",136158,400,21640,10000,"3.0","30","93 %","0.11 %",22275.75166,65.38778594,91.66,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,22275.75166,65.38778594,91.66,"ISR",2016,317744784695.1
"Italy",18982.26929,53.7402166,68.08,60446035,"-0.15 %",-88249,206,294140,148943,"1.3","47","69 %","0.78 %",18982.26929,53.7402166,68.08,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,18982.26929,53.7402166,68.08,"ITA",2016,1858913163927.72
"Jamaica",3665.348369,26.47722324,53.3,2963429,"0.44 %",12888,273,10830,-11332,"2.0","31","55 %","0.04 %",3665.348369,26.47722324,53.3,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,3665.348369,26.47722324,53.3,"JAM",2016,14056908749.3505
"Japan",39309.47886,77.63853515,66.48,126407422,"-0.30 %",-383840,347,364555,71560,"1.4","48","92 %","1.62 %",39309.47886,77.63853515,66.48,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,39309.47886,77.63853515,66.48,"JPN",2016,4940158776617.16
"Jordan",2534.00038,38.88120159,78.42,10220604,"1.00 %",101440,115,88780,10220,"2.8","24","91 %","0.13 %",2534.00038,38.88120159,78.42,101,4.906,0.837,1.225,0.815,0.383,0.11,0.13,2534.00038,38.88120159,78.42,"JOR",2016,38654727746.4789
"Kazakhstan",2481.718918,33.38212816,57.94,18815231,"1.21 %",225280,7,2699700,-18000,"2.8","31","58 %","0.24 %",2481.718918,33.38212816,57.94,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,2481.718918,33.38212816,57.94,"KAZ",2016,137278320084.171
"Kenya",468.6960436,25.8997967,21.6,53968739,"2.28 %",1197323,94,569140,-10000,"3.5","20","28 %","0.69 %",468.6960436,25.8997967,21.6,121,4.509,0.512,0.983,0.581,0.431,0.372,0.053,468.6960436,25.8997967,21.6,"KEN",2016,70529014778.3251
"Korea, Rep.",16372.49978,82.515928,81.46,51276977,"0.09 %",43877,527,97230,11731,"1.1","44","82 %","0.66 %",16372.49978,82.515928,81.46,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,16372.49978,82.515928,81.46,"KOR",2016,1411245589976.63
"Kuwait",NA,38.26023355,98.36,4281320,"1.51 %",63488,240,17820,39520,"2.1","37","N.A.","0.05 %",NA,38.26023355,98.36,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,NA,38.26023355,98.36,"KWT",2016,110875579086.698
"Kyrgyzstan",372.728414,19.58231645,36.28,6542426,"1.69 %",108345,34,191800,-4000,"3.0","26","36 %","0.08 %",372.728414,19.58231645,36.28,86,5.261,0.551,1.438,0.723,0.508,0.3,0.023,372.728414,19.58231645,36.28,"KGZ",2016,6551287937.62632
"Laos",554.8798401,6.999880342,30.88,7293542,"1.48 %",106105,32,230800,-14704,"2.7","24","36 %","0.09 %",554.8798401,6.999880342,30.88,105,4.796,0.764,1.03,0.551,0.547,0.266,0.164,554.8798401,6.999880342,30.88,"LAO",2016,15903329472.9904
"Latvia",5011.219456,71.51472354,68.12,1882408,"-1.08 %",-20545,30,62200,-14837,"1.7","44","69 %","0.02 %",5011.219456,71.51472354,68.12,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,5011.219456,71.51472354,68.12,"LVA",2016,27572698481.8766
"Lebanon",6746.612632,31.00437828,86.96,6819976,"-0.44 %",-30268,667,10230,-30012,"2.1","30","78 %","0.09 %",6746.612632,31.00437828,86.96,91,5.197,0.987,1.224,0.815,0.216,0.166,0.027,6746.612632,31.00437828,86.96,"LBN",2016,49598825982.1559
"Lesotho",495.7342469,3.860565398,25.46,2145194,"0.80 %",16981,71,30360,-10047,"3.2","24","31 %","0.03 %",495.7342469,3.860565398,25.46,144,3.802,0.489,1.169,0.168,0.359,0.107,0.093,495.7342469,3.860565398,25.46,"LSO",2016,2291321667.48246
"Liberia",155.0332312,7.000213821,60.14,5077411,"2.44 %",120307,53,96320,-5000,"4.4","19","53 %","0.06 %",155.0332312,7.000213821,60.14,141,3.975,0.073,0.922,0.443,0.37,0.233,0.033,155.0332312,7.000213821,60.14,"LBR",2016,2.101e+09
"Lithuania",5332.238591,62.81190001,66.96,2715340,"-1.35 %",-37338,43,62674,-32780,"1.7","45","71 %","0.03 %",5332.238591,62.81190001,66.96,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,5332.238591,62.81190001,66.96,"LTU",2016,42738875963.3703
"Luxembourg",52301.58718,90.07952663,82.44,627704,"1.66 %",10249,242,2590,9741,"1.5","40","88 %","0.01 %",52301.58718,90.07952663,82.44,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,52301.58718,90.07952663,82.44,"LUX",2016,58631324559.4484
"Madagascar",242.6775342,1.699985145,29.52,27808395,"2.68 %",721711,48,581795,-1500,"4.1","20","39 %","0.36 %",242.6775342,1.699985145,29.52,143,3.933,0.274,0.916,0.555,0.148,0.169,0.041,242.6775342,1.699985145,29.52,"MDG",2016,10001193420.1518
"Malawi",184.1417966,2.259975885,18.8,19211425,"2.69 %",501205,203,94280,-16053,"4.3","18","18 %","0.25 %",184.1417966,2.259975885,18.8,150,3.41,0.191,0.56,0.495,0.443,0.218,0.089,184.1417966,2.259975885,18.8,"MWI",2016,5433038646.51677
"Malaysia",5184.709328,56.3000337,70.36,32436963,"1.30 %",416222,99,328550,50000,"2.0","30","78 %","0.42 %",5184.709328,56.3000337,70.36,80,5.339,1.221,1.171,0.828,0.508,0.26,0.024,5184.709328,56.3000337,70.36,"MYS",2016,296535930381.12
"Mali",269.8928811,2.699966448,32.18,20346106,"3.02 %",592802,17,1220190,-40000,"5.9","16","44 %","0.26 %",269.8928811,2.699966448,32.18,128,4.39,0.385,1.105,0.308,0.327,0.153,0.052,269.8928811,2.699966448,32.18,"MLI",2016,14034980333.6615
"Malta",11066.78414,63.07799279,94.26,441750,"0.27 %",1171,1380,320,900,"1.5","43","93 %","0.01 %",11066.78414,63.07799279,94.26,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,11066.78414,63.07799279,94.26,"MLT",2016,10999047580.3881
"Mauritania",609.1312059,2.999803179,41,4669775,"2.74 %",123962,5,1030700,5000,"4.6","20","57 %","0.06 %",609.1312059,2.999803179,41,122,4.49,0.57,1.167,0.489,0.066,0.106,0.088,609.1312059,2.999803179,41,"MRT",2016,4739298730.30837
"Mauritius",5182.143721,28.7318835,42.48,1272140,"0.17 %",2100,626,2030,0,"1.4","37","41 %","0.02 %",5182.143721,28.7318835,42.48,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,5182.143721,28.7318835,42.48,"MUS",2016,12168437744.2644
"Mexico",6105.280743,31.05001287,77.2,129166028,"1.06 %",1357224,66,1943950,-60000,"2.1","29","84 %","1.65 %",6105.280743,31.05001287,77.2,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,6105.280743,31.05001287,77.2,"MEX",2016,1046922702460.87
"Moldova",595.8745345,40.1222347,41.76,4032294,"-0.23 %",-9300,123,32850,-1387,"1.3","38","43 %","0.05 %",595.8745345,40.1222347,41.76,71,5.529,0.685,1.328,0.739,0.245,0.181,0,595.8745345,40.1222347,41.76,"MDA",2016,6749515654.64419
"Mongolia",772.9333448,12.90000468,57.18,3287242,"1.65 %",53123,2,1553560,-852,"2.9","28","67 %","0.04 %",772.9333448,12.90000468,57.18,83,5.285,0.948,1.531,0.667,0.317,0.235,0.038,772.9333448,12.90000468,57.18,"MNG",2016,11183458130.8083
"Montenegro",2222.335052,51.95803797,60.18,628080,"0.01 %",79,47,13450,-480,"1.8","39","68 %","0.01 %",2222.335052,51.95803797,60.18,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,2222.335052,51.95803797,60.18,"MNE",2016,4374127212.38938
"Morocco",1844.351028,49.00063184,56.02,36985624,"1.20 %",438791,83,446300,-51419,"2.4","30","64 %","0.47 %",1844.351028,49.00063184,56.02,89,5.208,0.801,0.782,0.782,0.418,0.036,0.076,1844.351028,49.00063184,56.02,"MAR",2016,103606321692.582
"Mozambique",389.7636343,4.170136385,36.84,31398811,"2.93 %",889399,40,786380,-5000,"4.9","18","38 %","0.40 %",389.7636343,4.170136385,36.84,123,4.466,0.204,0.986,0.39,0.494,0.197,0.138,389.7636343,4.170136385,36.84,"MOZ",2016,11014858591.8422
"Myanmar",NA,NA,32.58,54473253,"0.67 %",364380,83,653290,-163313,"2.2","29","31 %","0.70 %",NA,NA,32.58,131,4.36,0.71,1.181,0.555,0.525,0.566,0.172,NA,NA,32.58,"MMR",2016,63225097051.255
"Namibia",2667.24671,6.500822821,36.84,2548663,"1.86 %",46375,3,823290,-4806,"3.4","22","55 %","0.03 %",2667.24671,6.500822821,36.84,113,4.639,0.879,1.313,0.477,0.401,0.07,0.056,2667.24671,6.500822821,36.84,"NAM",2016,10947880690.471
"Nepal",268.2594495,7.930096349,17.24,29225196,"1.85 %",528098,203,143350,41710,"1.9","25","21 %","0.37 %",268.2594495,7.930096349,17.24,100,4.913,0.446,1.226,0.677,0.439,0.285,0.089,268.2594495,7.930096349,17.24,"NPL",2016,21131983246.1855
"Netherlands",26551.84424,90.70355509,81.82,17141544,"0.22 %",37742,508,33720,16000,"1.7","43","92 %","0.22 %",26551.84424,90.70355509,81.82,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,26551.84424,90.70355509,81.82,"NLD",2016,777227541581.307
"New Zealand",14778.16393,83.00258425,86.56,4829021,"0.82 %",39170,18,263310,14881,"1.9","38","87 %","0.06 %",14778.16393,83.00258425,86.56,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,14778.16393,83.00258425,86.56,"NZL",2016,184969146624.47
"Nicaragua",948.355952,9.998554154,56.74,6638075,"1.21 %",79052,55,120340,-21272,"2.4","26","57 %","0.08 %",948.355952,9.998554154,56.74,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,948.355952,9.998554154,56.74,"NIC",2016,13230844686.858
"Niger",180.083376,0.829997485,16.54,24346468,"3.84 %",895929,19,1266700,4000,"7.0","15","17 %","0.31 %",180.083376,0.829997485,16.54,114,4.628,0.138,0.774,0.366,0.318,0.188,0.102,180.083376,0.829997485,16.54,"NER",2016,7528387858.34739
"Nigeria",544.5994767,28.43003266,48.36,206984347,"2.58 %",5175990,226,910770,-60000,"5.4","18","52 %","2.64 %",544.5994767,28.43003266,48.36,85,5.265,0.696,1.111,0.245,0.426,0.215,0.041,544.5994767,28.43003266,48.36,"NGA",2016,404652720164.859
"Norway",39972.35277,93.27750793,77.48,5428594,"0.79 %",42384,15,365268,28000,"1.7","40","83 %","0.07 %",39972.35277,93.27750793,77.48,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,39972.35277,93.27750793,77.48,"NOR",2016,371076190476.19
"Pakistan",668.547943,16.78003702,36.16,221612785,"2.00 %",4327022,287,770880,-233379,"3.6","23","35 %","2.83 %",668.547943,16.78003702,36.16,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,668.547943,16.78003702,36.16,"PAK",2016,278913371202.065
"Panama",5900.616944,42.74781206,73.2,4326296,"1.61 %",68328,58,74340,11200,"2.5","30","68 %","0.06 %",5900.616944,42.74781206,73.2,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,5900.616944,42.74781206,73.2,"PAN",2016,55187700000
"Paraguay",1621.177078,19.80168119,60.3,7147553,"1.25 %",87902,18,397300,-16556,"2.4","26","62 %","0.09 %",1621.177078,19.80168119,60.3,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,1621.177078,19.80168119,60.3,"PRY",2016,27424071382.7244
"Peru",3180.430612,34.30060399,71.4,33050211,"1.42 %",461401,26,1280000,99069,"2.3","31","79 %","0.42 %",3180.430612,34.30060399,71.4,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,3180.430612,34.30060399,71.4,"PER",2016,192207342004.681
"Philippines",1383.401869,24.99994585,64.92,109830324,"1.35 %",1464463,368,298170,-67152,"2.6","26","47 %","1.41 %",1383.401869,24.99994585,64.92,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,1383.401869,24.99994585,64.92,"PHL",2016,304905406845.291
"Poland",6575.745044,62.47123013,61.32,37839255,"-0.11 %",-41157,124,306230,-29395,"1.4","42","60 %","0.49 %",6575.745044,62.47123013,61.32,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,6575.745044,62.47123013,61.32,"POL",2016,471364408713.956
"Portugal",11744.83417,51.2804784,59.46,10191409,"-0.29 %",-29478,111,91590,-6000,"1.3","46","66 %","0.13 %",11744.83417,51.2804784,59.46,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,11744.83417,51.2804784,59.46,"PRT",2016,204836597909.466
"Qatar",33931.83208,81.59039727,95.64,2889284,"1.73 %",48986,248,11610,40000,"1.9","32","96 %","0.04 %",33931.83208,81.59039727,95.64,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,33931.83208,81.59039727,95.64,"QAT",2016,152451923076.923
"Romania",2636.7878,40.02009488,54.24,19214608,"-0.66 %",-126866,84,230170,-73999,"1.6","43","55 %","0.25 %",2636.7878,40.02009488,54.24,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,2636.7878,40.02009488,54.24,"ROU",2016,187592037839.968
"Russia",2923.144355,43.36649772,72.84,145945524,"0.04 %",62206,9,16376870,182456,"1.8","40","74 %","1.87 %",2923.144355,43.36649772,72.84,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,2923.144355,43.36649772,72.84,"RUS",2016,1283162985989.3
"Rwanda",338.2663912,13.00000612,18.34,13005303,"2.58 %",325268,525,24670,-9000,"4.1","20","18 %","0.17 %",338.2663912,13.00000612,18.34,152,3.334,0.359,0.711,0.614,0.555,0.217,0.411,338.2663912,13.00000612,18.34,"RWA",2016,8376048904.58291
"Saudi Arabia",9425.32587,41.00012846,82.42,34905942,"1.59 %",545343,16,2149690,134979,"2.3","32","84 %","0.45 %",9425.32587,41.00012846,82.42,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,9425.32587,41.00012846,82.42,"SAU",2016,646438380560
